 , ,IEA,IEA.1,IEA.2,CIA,CIA.1,WB,DATAMYSTIC, ,DATAMYSTIC.1,IEA.3, ,Knoema
Matlab - worldmtxmed,,industryfactor (electricity used in industry/electricity demand),% of total electicity generated by nuclear power,% of total electicity generated by hydro power,latitude,longitude,Industry-factor of the GDP,timezone (base=GMT),daylight saving time,timezone max/min (base=UCT),% of total electicity generated by geothermal powerplant,"MENA, World  North_Americas, World  South_Americas, World  Caribbean, South_Americas, World  Central_America, South_Americas, World North_Africa, World East_Africa, World  South_Africa, World  West_Africa, World Central_Africa,World  Europe, World  Eurasia   Rest_of_AsiaxPacific_, World  AsiaxPacific,World  Greater_China, AsiaxPacific, World India, World, AsiaxPacific",Travel and Tourism Total Contribution to GDP % share countries ranking (year 2015)
Code,Name,,,,,,,,,,,,
123,Mauritania,0.3022071307300509,1,1,20,-12,36.6,0,0,0,1,"West_Africa, World",
124,Mauritius,0.36221837088388215,1,1,-20.17,57.33,23.8,4,0,4,1,"East_Africa, World",25.6068
125,Mexico,0.6459086937322076,0.043525283599307824,0.12174742036787797,23,-102,32.8,-7,0,-6,0.026777703005832213,"North_Americas, World",15.0702
126,Moldova,0.5978947368421053,0,0.02010968921389397,47,29,20.3,3,1,3,0,"Europe, World",3.12009
127,Mongolia,0.5972834067547723,0,0,46,105,30.8,8,0,8,0,"Rest_of_AsiaxPacific_, World",5.31572
128,Morocco,0.42696629213483145,0,0.06903242497412901,32,-5,32.3,0,1,0,0,"MENA, World North_Africa, World ",17.4786
129,Mozambique,0.43699515347334406,0,0.9986428716835177,-18.15,35,26.9,2,0,2,0,"East_Africa, World",7.30877
130,Namibia,0.41316685584562995,0,0.9414694894146949,-22,17,34.4,2,0,2,0,"South_Africa, World",15.4848
131,Nepal,0.5568181818015027,0,0.996274217585693,28,84,15,5.5,0,5.5,0,"Rest_of_AsiaxPacific_, World",8.09925
132,Netherlands,0.4096385542168674,0.034806951356558036,0.0010635736073205972,52.3,5.45,24.2,1,1,1,0,"Europe, World",5.45052
133,New Caledonia,1,1,1,-21.3,165.3,27.8,11,0,11,1,"xAsiaxPacific__,World",
134,Vanuatu former New Hebrides,1,1,1,-16,167,10.4,11,0,11,1,"xAsiaxPacific__,World",47.3197
135,New Zealand,0.25925925925925924,0,0.5389140375468187,-41,174,24,12,0,12,0.0781957306004274,"xAsiaxPacific__,World",17.3714
136,Nicaragua,0.2368801155512759,0,0.12542258282623395,13,-85,23.4,-6,0,-6,0.10513860716700474,"Central_America, South_Americas, World",9.55009
137,Niger,0.3058252427184466,1,1,16,8,16,1,0,1,1,"West_Africa, World",3.30617
138,Nigeria,0.23402255639097747,0,0.3337948939852878,10,8,33.6,1,0,1,0,"West_Africa, World",4.17573
139,Norfolk Island (Australia),1,1,1,-29.02,167.57,,11.5,0,11.5,1,-1,
140,Northern Mariana Islands,1,1,1,15.12,145.45,-1,10,0,10,1,"xAsiaxPacific__,World",
141,Norway,0.41359773371104813,0,0.9846789903257358,56,11,38.3,1,1,1,0,"Europe, World",7.80316
142,Oman,0.10075312270389424,0,0,21,57,51.3,4,0,4,0,"MENA, World Rest_of_AsiaxPacific_, World",5.73768
143,Pakistan,0.47727272727272724,0.02326385358413828,0.32489069649212,30,70,25.8,5,0,5,0,"Rest_of_AsiaxPacific_, World",7.00589
144,Panama,0.09336609336609336,0,0.5977625647019535,9,-80,16.6,-5,0,-5,0,"Central_America, South_Americas, World",18.3194
145,Papua New Guinea,1,1,1,-6,147,37.7,10,0,10,1,"xAsiaxPacific__,World",1.68291
146,Paraguay,0.25695755549076776,0,1,-23,-58,19.2,-4,0,-4,0,"South_Americas, World",5.07513
147,Peru,0.5446556363357811,0,0.7852547700855326,-10,-76,38,-5,0,-5,0,"South_Americas, World",10.0727
148,Philippines,0.3500007133845204,0,0.17519830777366474,13,122,33.3,8,0,8,0.18447029790234443,"Rest_of_AsiaxPacific_, World",10.5763
149,Poland,0.3833757421543681,0,0.01867171173844765,52,20,33.6,1,1,1,0,"Europe, World",4.33544
150,Portugal,0.32428466617754953,0,0.23382475887522686,39.3,-8,22.8,1,1,1,0.0017332436124875103,"Europe, World",16.4291
151,Prince Edward Islands (South Africa),,1,1,,,,,0,,1,-1,
152,Puerto Rico,1,1,1,18.15,-66.3,45,-4,0,-4,1,"Caribbean, South_Americas, World",
153,Qatar,0.2509687700953395,0,0,25.3,51.15,79,3,0,3,0,"MENA, World Rest_of_AsiaxPacific_, World",7.13494
154,Republic of Palau,1,1,1,7.3,134.3,,9,0,9,1,-1,
155,Reunion (France),1,1,1,,,,4,0,4,1,-1,
156,Romania,0.34473909324208724,0.08982885943506069,0.29277317893998117,46,25,32.9,2,1,2,0,"Europe, World",5.05483
157,Russia,0.5188692121085821,0.1570967489259827,0.1760223500041173,60,100,37,3,0,3,0.00046495560326734246,"Eurasia Europe, World",5.73358
158,Rwanda,0.39053562142485704,1,1,-2,30,14.1,2,0,2,1,"East_Africa, World",8.33843
159,Sao Tome and Principe,0.3641281731169371,1,1,1,7,23.8,0,0,0,1,"Central_Africa,World",20.1371
160,Saudi Arabia,0.08975404408946129,0,0,25,45,67.6,3,0,3,0,"MENA, World Rest_of_AsiaxPacific_, World",7.99006
161,Senegal,0.3022071307300509,0,0.0959409594095941,14,-14,21.7,0,0,0,0,"West_Africa, World",12.3803
162,Seychelles,0.36221837088388215,1,1,-4.35,55.4,18.7,4,0,4,1,"East_Africa, World",62.0849
163,Sierra Leone,0.3022071307300509,1,1,8.3,-11.3,21.7,0,0,0,1,"West_Africa, World",4.01777
164,Singapore,0.442210302503141,0,0,1.22,103.48,26.6,8,0,8,0,"Rest_of_AsiaxPacific_, World",9.97478
165,Slovakia,0.4656796769851951,0.5733019288306067,0.14533070214526705,48.4,19.3,35.5,1,1,1,0,"Europe, World",6.1088
166,Slovenia,0.2945544554455446,0.36705259675818724,0.23757856434005956,46.07,14.29,31.4,1,1,1,0,"Europe, World",12.9539
167,Solomon Island,1,1,1,-8,159,7,11,0,11,1,"xAsiaxPacific__,World",8.08077
168,Somalia,0.4954954954954956,1,1,10,49,7.4,3,0,3,1,"East_Africa, World",
169,South Africa,0.5941783100465735,0.04641486536536931,0.021989928998652472,-29,24,31.6,2,0,2,0,"South_Africa, World",9.38718
170,Spain,0.32428466617754953,0.19840224912638466,0.0973532507729722,40,-4,25.8,1,1,1,0,"Europe, World",16.0485
171,Sri Lanka,0.5568181818181819,0,0.4937693045052721,7,81,29.6,5.5,0,5.5,0,"Rest_of_AsiaxPacific_, World",10.5882
172,St. Helena,1,1,1,-15.57,-5.42,-1,0,0,0,1,"West_Africa, World",
173,St. Lucia,1,1,1,13.53,-60.58,18.4,-4,0,-4,1,"Caribbean, South_Americas, World",41.4752
174,St. Vincent and the Grenadines,1,1,1,13.15,-61.12,25.3,-4,0,-4,1,"Caribbean, South_Americas, World",23.2328
175,Sudan,0.2726923076923077,0,0.32549299120931335,15,30,45,2,0,2,0,"North_Africa, World ",5.67234
176,Suriname,1,1,1,4,-56,24.4,-3.5,0,-3.5,1,"South_Americas, World",2.89788
177,Swaziland,0.43699515347334406,1,1,-26.3,31.3,50.8,2,0,2,1,"South_Africa, World",4.59666
178,Sweden,0.45162029960256805,0.467393352361147,0.43083343219422326,62,15,26.9,1,1,1,0,"Europe, World",9.64305
179,Switzerland,0.3467153284671533,0.4344139417221025,0.5134919891314532,47,8,27.5,1,1,1,0,"Europe, World",7.64183
180,Syria,0.39784946236559177,0,0.10712657243247593,35,38,28.2,2,0,2,0,"MENA, World Rest_of_AsiaxPacific_, World",10.9062
181,Taiwan,0.4913201238808927,0.1693921511146233,0.03398464551707729,23.3,121,32,8,0,8,0,"Rest_of_AsiaxPacific_, World  Greater_China, AsiaxPacific_, World",4.9497
182,Tajikistan,0.4075360236299046,0,0.9765421886078941,39,71,22.4,6,0,6,0,"Rest_of_AsiaxPacific_, World",
183,Tanzania,0.39053562142485704,0,0.5172910662824207,-6,35,24.2,3,0,3,0,"East_Africa, World",11.7808
184,Thailand,0.4646410417012864,0,0.05856193510256447,15,100,52.7,7,0,7,2.1622868345562268e-05,"Rest_of_AsiaxPacific_, World",20.8293
185,Togo,0.30929117072304135,0,0.4117647058823529,8,1.1,23,0,0,0,0,"West_Africa, World",8.54144
186,Trinidad and Tobago,0.6327073552425665,0,0,11,-61,58.9,-4,0,-4,0,"Caribbean, South_Americas, World",8.52724
187,Tunisia,0.4946236559139787,0,0.006514657980456026,34,9,34.6,1,0,1,0,"MENA, World North_Africa, World ",12.6419
188,Turkey,0.47664041994750656,0,0.25096001678965846,39,35,26.9,2,0,2,0.0005331851003125372,"Eurasia Europe, World",12.8603
189,Turkmenistan,0.3595618783834823,0,0.00021978021978021978,40,60,24.1,5,0,5,0,"Rest_of_AsiaxPacific_, World",
190,Uganda,0.6333236405931957,1,1,1,32,26.1,3,0,3,1,"East_Africa, World",9.00426
191,Ukraine,0.5978947368421053,0.46656600183058317,0.0674006236393441,49,32,34.7,3,1,3,0,"Europe, World",5.33718
192,United Arab Emirates,0.1434120052034939,0,0,24,54,59.4,4,0,4,0,"MENA, World Rest_of_AsiaxPacific_, World",8.7279
193,United Kingdom,0.32112845138055224,0.1893479690221292,0.0212257640321423,54,-2,21.6,0,1,0,0,"Europe, World",11.1856
194,United States,0.40248382496765917,0.18980837654938257,0.07387874700588358,38,-97,22.1,-7,2,-11,0.0038559568382130647,"North_Americas, World",8.18783
195,Upper Volta - Burkina Faso,0.30929117072304135,1,1,13,-2,23.2,0,0,0,1,"West_Africa, World",3.57161
196,Uruguay,,0,0.6399715251824168,-33,-56,20.9,-3,0,-3,0,"South_Americas, World",8.62256
197,Uzbekistan,0.38306977201741227,0,0.12846102355017344,41,64,37.8,6,0,6,0,"Rest_of_AsiaxPacific_, World",3.19034
198,Venezuela,0.3747717963075704,0,0.7202080520492583,8,-66,34.9,-4,0,-4,0,"South_Americas, World",8.45049
199,Vietnam,0.4795918367346939,0,0.4177257761886218,16,107.5,40,7,0,7,0,"Rest_of_AsiaxPacific_, World",13.8794
200,Virgin Islands,1,1,1,18.2,-64.5,19,-4,0,-4,1,"Caribbean, South_Americas, World",
201,West Bank,1,1,1,32,35.15,13.6,2,0,2,1,"MENA, World Rest_of_AsiaxPacific_, World",
202,Western Sahara,1,1,1,24.3,-13,-1,1,0,1,1,"MENA, World North_Africa, World ",
203,Yemen,0,0,0,15,48,41.6,3,0,3,0,"MENA, World Rest_of_AsiaxPacific_, World",10.4591
204,Serbia,0.2945544554455446,0,0.30056741865628683,44,21,22.5,2,0,2,0,"Europe, World",6.42514
205,Zambia,0.43699515347334406,0,0.994033031433138,-15,30,35.2,2,0,2,0,"East_Africa, World",6.73943
206,Zimbabwe,0.43699515347334406,0,0.5679214402618658,-20,30,24.6,2,0,2,0,"East_Africa, World",10.989
207,Water,,1,1,,,,,0,,,-1,
208,Anguilla,,,,,,,,,,,,
209,Cayman Islands,,,,,,,,,,,,
210,Cook Islands,,,,,,,,,,,,
211,Curacao,,,,,,,,,,,,
212,Faroe Islands,,,,,,,,,,,,
213,Gibraltar,,,,,,,,,,,,
214,Isle of Man,,,,,,,,,,,,
215,Macau Region of China,,,,,,,,,,,,
216,Marshall Islands,,,,,,,,,,,,
217,Montenegro,,,,,,,,,,,,
218,Saint Kitts and Nevis,,,,,,,,,,,,
219,Samoa,,,,,,,,,,,,
220,Sint Maarten,,,,,,,,,,,,
221,Timor-Leste,,,,,,,,,,,,
222,Tokelau,,,,,,,,,,,,
223,Tonga,,,,,,,,,,,,
